DO NOT DO THIS IN PRODUCTION Cleanup... done
Please stand while loading the db... done
40009893	Schröter, Johann	Schröter, Johannes
40001838	Johann Melchior Caesar	Caesar, Johann Melchior [A/I]
40010502	August Sturm	Sturm, August
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40010479	Franz Xaver Straub	Straub, Franz
40011143	Michael Wagner	Wagner, Michael
40011143	Michael Wagner	Wagner, Michael [A/I]
40003804	Johann Gäch	Gäch, Johann
40000419	Georg Arnold	Arnold, Georg
40011143	Michael Wagner	Wagner, Michael [A/I]
40001892	Fratelli Camagni	Camagni - fratelli
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40003360	Andreas Erfurt	Erfurt, Andreas
40007056	Francesco Magni	Magni, Francesco
40007056	Francesco Magni	Magni, Francesco
40007056	Francesco Magni	Magni, Francesco
40011904	Giovanni Francesco & fratelli Camagni	Camagni - Giovanni Francesco e fratelli 
40001892	Fratelli Camagni	Camagni - fratelli
40011042	Francesco Vigone	Vigone, Francesco
40003360	Andreas Erfurt	Erfurt, Andreas
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40011042	Francesco Vigone	Vigone, Francesco
40001892	Fratelli Camagni	Camagni - fratelli
40003087	Dozza, Evangelista, eredi	Dozza
40001838	Johann Melchior Caesar	Caesar, Johann Melchior
40005815	Jacob Koppmayer	Koppmayer, Jakob 
40004800	Gottfried Hautt	Hautt, Gottfried
40001893	Carlo Camagno	Camagno, Carlo
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40003360	Andreas Erfurt	Erfurt, Andreas
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40009846	Johann Jakob Schönigk	Schönig, Johann Jakob
40007626	Giacomo Monti	Monti, Giacomo
40003087	Dozza, Evangelista, eredi	Dozza
51007106	Klosterdruckerei St. Gallen	Klosterdruckerei Sankt Gallen
40007626	Giacomo Monti	Monti, Giacomo
40011904	Giovanni Francesco & fratelli Camagni	Camagni - Giovanni Francesco e fratelli 
40001892	Fratelli Camagni	Camagni - fratelli
40003990	Johann Geng	Geng, Johann
40001892	Fratelli Camagni	Camagni - fratelli
40001893	Carlo Camagno	Camagno, Carlo
40007054	Bartolomeo Magni	Magni, Bartolomeo
40011143	Michael Wagner	Wagner, Michael
40010502	August Sturm	Sturm, August
40010146	Marino Silvani	Silvani, Marino
40009179	Giorgio Rolla	Rolla, Giorgio
40003747	Friedrich Friessem	Friessem, Friedrich
40004939	Jobst Hertz	Hertz, Hiob
40001892	Fratelli Camagni	Camagni - fratelli
40001892	Fratelli Camagni	Camagni - fratelli
40009179	Giorgio Rolla	Rolla, Giorgio
40011904	Giovanni Francesco & fratelli Camagni	Camagni - Giovanni Francesco e fratelli 
40009179	Giorgio Rolla	Rolla, Giorgio
40011904	Giovanni Francesco & fratelli Camagni	Camagni - Giovanni Francesco e fratelli 
40009179	Giorgio Rolla	Rolla, Giorgio
40011143	Michael Wagner	Wagner, Michael [A/I]
40003804	Johann Gäch	Gäch, Johann
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40003804	Johann Gäch	Gäch, Johann
40001892	Fratelli Camagni	Camagni - fratelli
40001892	Fratelli Camagni	Camagni - fratelli
40004156	Daniel Görlin	Görlin, Daniel
51002844	Daniel Görlin Witwe	Görlin, Daniel - Witwe
51002845	Matthäus Wagner	Wagner, Matthäus
51002845	Matthäus Wagner	Wagner, Matthäus
40011143	Michael Wagner	Wagner, Michael [A/I]
40003990	Johann Geng	Geng, Johann
40009763	Georg Schlüter & Martin Happach	Schlüter, Georg
40009763	Georg Schlüter & Martin Happach	Happach, Martin
40003472	Wolfgang Eberhard Felsecker	Felsecker, Wolfgang Eberhard
51000416	Johann Mayr (Fürstliche Druckerei Kempten)	Mayr, Johann
51001834	Bischöfliche Druckerei	Bischöfliche Druckerei Konstanz
40008210	Leonhard Parcus	Parcus, Leonhard 
40008210	Leonhard Parcus	Parcus, Leonhard 
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
30061344	Johann Kaspar Bencard 	Bencard, Johann Caspar
40003344	Wolfgang Moritz Endter	Endter, Wolfgang Moritz
40001892	Fratelli Camagni	Camagni - fratelli
40005688	Kieffer, Carl, Witwe	Kieffer, Karl
40009847	Johann Ulrich Schönigk	Schönig, Johann Ulrich
40011143	Michael Wagner	Wagner, Michael [A/I]
40004020	Dietrich Gerlach	Gerlach, Theodor
40010392	Nikolaus Stein 	Stein, Nicolaus
40009039	Wolfgang Richter	Richter, Wolfgang
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40000302	Ricciardo Amadino	Amadino, Ricciardo
40000302	Ricciardo Amadino	Amadino, Ricciardo
40003804	Johann Gäch	Gäch, Johann
40005505	Jobin, Bernhard	Jobin, Bernhard [A/I]
40005618	Paul Kauffmann	Kaufmann, Paul
40003804	Johann Gäch	Gäch, Johann
40003804	Johann Gäch	Gäch, Johann
40011112	Johann Volmar	Vollmar, Johann
40008669	Johann Praetorius	Praetorius, Johann
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40003804	Johann Gäch	Gäch, Johann
40003990	Johann Geng	Geng, Johann
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40009179	Giorgio Rolla	Rolla, Giorgio
40003804	Johann Gäch	Gäch, Johann
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40003990	Johann Geng	Geng, Johann
40004021	Katharina Gerlach	Gerlach, Katharina
40004021	Katharina Gerlach	Gerlach, Katharina
40007054	Bartolomeo Magni	Magni, Bartolomeo
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40003804	Johann Gäch	Gäch, Johann
40000935	Adam Berg	Berg, Adam - the elder
40000937	Anna Berg	Berg
40002896	Friedrich Melchior Dedekind	Dedekind, Friedrich Melchior
40001109	Johann Birckner	Birckner, Johann 
40008669	Johann Praetorius	Praetorius, Johann
40008669	Johann Praetorius	Praetorius, Johann
40008669	Johann Praetorius	Praetorius, Johann
40010392	Nikolaus Stein 	Stein, Nicolaus
40007054	Bartolomeo Magni	Magni, Bartolomeo
40001379	Nicolò Borboni	Borboni, Nicolò
40001379	Nicolò Borboni	Borboni, Nicolò
40001379	Nicolò Borboni	Borboni, Nicolò
40011112	Johann Volmar	Vollmar, Johann
40000219	Daniel Paur	Agricola, Daniel
40011112	Johann Volmar	Vollmar, Johann
40008094	Philipp von Ohr	Ohr, Philipp von
40008094	Philipp von Ohr	Ohr, Philipp von
40002020	Heinrich Carstens	Carstens, Heinrich
40002020	Heinrich Carstens	Carstens, Heinrich
40003990	Johann Geng	Geng, Johann
40003990	Johann Geng	Geng, Johann
40011434	Willer, Georg (Leonhard Reinmichel)	Willers, Georg
40000935	Adam Berg	Berg, Adam - the elder
40010480	Leonhard Straub der Ältere	Straub, Leonhard
40007054	Bartolomeo Magni	Magni, Bartolomeo
40011642	Lazarus Zetzner	Zetzner, Lazarus
40011642	Lazarus Zetzner	Zetzner, Lazarus
40007054	Bartolomeo Magni	Magni, Bartolomeo
40006799	Filippo Lomazzo	Lomazzo, Filippo
40004595	Gregorius Haenlin	Haenlin, Gregor
40008669	Johann Praetorius	Praetorius, Johann
40003804	Johann Gäch	Gäch, Johann
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40009893	Schröter, Johann	Schröter, Johannes
40011143	Michael Wagner	Wagner, Michael [A/I]
40000397	Samuel Apiarius	Apiarius, Samuel
40007054	Bartolomeo Magni	Magni, Bartolomeo
40007054	Bartolomeo Magni	Magni, Bartolomeo
51000372	Heinrich Petri	Petri, Heinrich
51007891	Hieronymus Curio	Curio, Hieronymus
40007054	Bartolomeo Magni	Magni, Bartolomeo
40009893	Schröter, Johann	Schröter, Johannes
40009179	Giorgio Rolla	Rolla, Giorgio
40009893	Schröter, Johann	Schröter, Johannes
40003845	Angelo Gardano	Gardano, Angelo
40004021	Katharina Gerlach	Gerlach, Katharina
40000935	Adam Berg	Berg, Adam - the elder
40004021	Katharina Gerlach	Berg, Johann vom
40004021	Katharina Gerlach	Gerlach, Katharina
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40006799	Filippo Lomazzo	Lomazzo, Filippo
40003840	Alessandro Gardano	Gardano, Alessandro
40007054	Bartolomeo Magni	Magni, Bartolomeo
40007054	Bartolomeo Magni	Magni, Bartolomeo
51001169	Michael Hering	Hering, Michael
40008360	Pfeiffer, Lorenz	Pfeiffer, Laurentius
40005899	Kühne, Christian Balthasar	Kühn, Balthasar
40007054	Bartolomeo Magni	Magni, Bartolomeo
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40004835	Nicolaus Henricus	Heinrich, Nicolaus
40007054	Bartolomeo Magni	Magni, Bartolomeo
40007054	Bartolomeo Magni	Magni, Bartolomeo
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40003324	Michael Endter	Endter, Michael
51002845	Matthäus Wagner	Wagner, Matthäus
51002844	Daniel Görlin Witwe	Görlin, Daniel - Witwe
40004835	Nicolaus Henricus	Heinrich, Nicolaus
51002845	Matthäus Wagner	Wagner, Matthäus
40007990	Adam Neumayr	Neumayr, Adam
40003360	Andreas Erfurt	Erfurt, Andreas
40000419	Georg Arnold	Arnold, Georg
40011143	Michael Wagner	Wagner, Michael [A/I]
40003472	Wolfgang Eberhard Felsecker	Felsecker, Wolfgang Eberhard
40003990	Johann Geng	Geng, Johann
40000763	Philipp Jakob Baudrexel	Baudrexel, Philipp Jakob
40011143	Michael Wagner	Wagner, Michael [A/I]
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40007302	Johann Baptist Mayr	Mayr, Johann Baptist
40001047	Heinrich Ignaz Franz Biber	Biber, Heinrich Ignaz Franz
40003344	Wolfgang Moritz Endter	Endter, Wolfgang Moritz
40007626	Giacomo Monti	Monti, Giacomo
40007056	Francesco Magni	Magni, Francesco
40007626	Giacomo Monti	Monti, Giacomo
40001838	Johann Melchior Caesar	Caesar, Johann Melchior [A/I]
40010502	August Sturm	Sturm, August
40001838	Johann Melchior Caesar	Caesar, Johann Melchior [A/I]
40005815	Jacob Koppmayer	Koppmayer, Jakob 
40007626	Giacomo Monti	Monti, Giacomo
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40003814	Johann Michael Galley	Galley, Johann Michael
40010479	Franz Xaver Straub	Straub, Franz
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40003360	Andreas Erfurt	Erfurt, Andreas
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40009846	Johann Jakob Schönigk	Schönig, Johann Jakob
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40003360	Andreas Erfurt	Erfurt, Andreas
40004103	Johann Melchior Gletle	Gletle, Johann Melchior
40009846	Johann Jakob Schönigk	Schönig, Johann Jakob
40011143	Michael Wagner	Wagner, Michael [A/I]
40007302	Johann Baptist Mayr	Mayr, Johann Baptist
40010502	August Sturm	Sturm, August
40007056	Francesco Magni	Magni, Francesco
40010481	Lucas Straub	Straub, Lucas
40007626	Giacomo Monti	Monti, Giacomo
40007056	Francesco Magni	Magni
40011143	Michael Wagner	Wagner, Michael [A/I]
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40009604	Giuseppe Sala	Sala, Giuseppe
40007626	Giacomo Monti	Monti, Giacomo
40009604	Giuseppe Sala	Sala, Giuseppe
40007056	Francesco Magni	Magni, Francesco
40003094	Rudolph Dreher (Fürstliche Druckerei Kempten)	Dreher, Rudolph
40011143	Michael Wagner	Wagner, Michael [A/I]
40008494	Plawenn, Leopold von (Christian Balthasar Kühne)	Plawenn, Leopold von
40005899	Kühne, Christian Balthasar	Kühn, Balthasar
40011143	Michael Wagner	Wagner, Michael [A/I]
40008494	Plawenn, Leopold von (Christian Balthasar Kühne)	Plawenn, Leopold von
40005899	Kühne, Christian Balthasar	Kühn, Balthasar
40009846	Johann Jakob Schönigk	Schönig, Johann Jakob
40003347	Christoph Endters Erben	Endter, Christoph - Erben
40005899	Kühne, Christian Balthasar	Kühn, Balthasar
40011143	Michael Wagner	Wagner, Michael [A/I]
40003804	Johann Gäch	Gäch, Johann
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40011143	Michael Wagner	Wagner, Michael [A/I]
40003990	Johann Geng	Geng, Johann
40007626	Giacomo Monti	Monti, Giacomo
40007626	Giacomo Monti	Monti, Giacomo
40007626	Giacomo Monti	Monti, Giacomo
40010392	Nikolaus Stein 	Stein, Nikolaus
40003306	Egenolff Emmel	Emmel, Egenolff
40008094	Philipp von Ohr	Ohr, Philipp von
40001027	Georg Beuther	Beuther, Georg
40001027	Georg Beuther	Beuther, Georg
40000948	Christian II. Bergen	Bergen, Christian
40012225	Melchior Bergens Witwe und Erben	Bergen, Melchior - Witwe und Erben
40000948	Christian II. Bergen	Bergen, Christian
40010044	Wolfgang Seyffert	Seyffert
40011904	Giovanni Francesco & fratelli Camagni	Camagni - Giovanni Francesco e fratelli 
51002844	Daniel Görlin Witwe	Görlin, Daniel - Witwe
51002845	Matthäus Wagner	Wagner, Matthäus
40001892	Fratelli Camagni	Camagni - fratelli
40008210	Leonhard Parcus	Parcus, Leonhard 
40010479	Franz Xaver Straub	Straub, Franz Xaver
40003410	Albert Otto Faber	Faber, Albert Otto
40007745	Henning Müller	Müller, Henning
40007745	Henning Müller	Müller, Henning
40001838	Johann Melchior Caesar	Caesar, Johann Melchior
40005815	Jacob Koppmayer	Koppmayer, Jakob 
40001838	Johann Melchior Caesar	Caesar, Johann Melchior
40005815	Jacob Koppmayer	Koppmayer, Jakob 
40010146	Marino Silvani	Silvani, Marino
40010143	Giuseppe Antonio Silvani	Silvani, Giuseppe Antonio
40009604	Giuseppe Sala	Sala, Giuseppe
40009604	Giuseppe Sala	Sala, Giuseppe
40007626	Giacomo Monti	Monti, Giacomo
40004685	Hardmeyer, Christoff	Hardmeyer, Christoph
40004642	Simon Halbmaier	Halbmaier, Simon
30061366	Abraham Wagenmann	Wagenmann, Abraham
30061366	Abraham Wagenmann	Wagenmann, Abraham
30061366	Abraham Wagenmann	Wagenmann, Abraham
30061366	Abraham Wagenmann	Wagenmann, Abraham
40004020	Dietrich Gerlach	Gerlach, Dietrich
40005705	Wolfgang Kirchner	Kirchner, Wolfgang
40004021	Katharina Gerlach	Gerlach, Katharina & Johann Berg's Erben
40009030	Johann Richel der Jüngere	Richel, Johann - der Jüngere
40005618	Paul Kauffmann	Kauffmann, Paul
40004642	Simon Halbmaier	Halbmaier, Simon
40011487	Hans Witte	Witte, Hans 
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40011487	Hans Witte	Witte, Hans 
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009030	Johann Richel der Jüngere	Richel, Johann - der Jüngere
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40009030	Johann Richel der Jüngere	Richel, Johann - der Jüngere
40011487	Hans Witte	Witte, Hans 
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40011487	Hans Witte	Witte, Hans 
40009031	Johann Richel der Ältere Erben	Richel, Johann - der Ältere, Erben
40005618	Paul Kauffmann	Kauffmann, Paul
40005618	Paul Kauffmann	Kauffmann, Paul
40008094	Philipp von Ohr	Ohr, Philipp von
40004835	Nicolaus Henricus	Heinrich, Nikolaus 
40008094	Philipp von Ohr	Ohr, Philipp von
40003845	Angelo Gardano	Gardano, Angelo
40003858	Antonio Gardano	Gardano, Antonio
40009963	Girolamo Scotto	Scotto, Gerolamo
40003845	Angelo Gardano	Gardano, Angelo
40009964	Erede di Girolamo Scotto	Scotto, Girolamo - eredi
40009849	Valentin Schönigk	Schönig, Valentin
51003544	Wilhelm Eder	Eder, Wilhelm
40003311	Jakob Enderlin	Enderlin, Jakob
40009030	Johann Richel der Jüngere	Richel, Johann - der Jüngere
