"id","ext_id","name"
13,51000013,"Beromünster, Stift St. Michael"
591,51000591,"Zentral- und Hochschulbibliothek Luzern"
592,51000592,"Camagni - fratelli"
593,51000593,"Endter, Christoph - Erben"
594,51000594,"Dozza"
595,51000595,"Camagni - Giovanni Francesco e fratelli "
596,51000596,"Klosterdruckerei Sankt Gallen"
597,51000597,"Magni"
598,51000598,"Mascardi"
599,51000599,"Mascardi - successore"
600,51000600,"Görlin, Daniel - Witwe"
601,51000601,"Bischöfliche Druckerei Konstanz"
602,51000602,"Lange, Paul"
603,51000603,"Stein, Nikolaus"
604,51000604,"Emmel, Egenolff"
605,51000605,"Ohr, Philipp von"
606,51000606,"Beuther, Georg"
607,51000607,"Bergen, Christian"
608,51000608,"Bergen, Melchior - Witwe und Erben"
609,51000609,"Seyffert"
610,51000610,"Wagner, Matthäus"
611,51000611,"Beltramino, Giovanni Battista"
612,51000612,"Parcus, Leonhard "
613,51000613,"Straub, Franz Xaver"
614,51000614,"Faber, Albert Otto"
615,51000615,"Müller, Henning"
616,51000616,"Caesar, Johann Melchior"
617,51000617,"Koppmayer, Jakob "
618,51000618,"Hardmeyer, Christoph"
619,51000619,"Silvani, Marino"
620,51000620,"Silvani, Giuseppe Antonio"
621,51000621,"Sala, Giuseppe"
622,51000622,"Monti, Giacomo"
623,51000623,"Ledertz, Paul"
624,51000624,"Heyden, Marx von der"
625,51000625,"Halbmaier, Simon"
626,51000626,"Wagenmann, Abraham"
627,51000627,"Morhard, Ulrich - Witwe"
628,51000628,"Gerlach, Dietrich"
629,51000629,"Kirchner, Wolfgang"
630,51000630,"Gerlach, Katharina & Johann Berg's Erben"
631,51000631,"Richel, Johann - der Jüngere"
632,51000632,"Hallervord, Johann"
633,51000633,"Kauffmann, Paul"
634,51000634,"Witte, Hans "
635,51000635,"Richel, Johann - der Ältere, Erben"
636,51000636,"Wilden, Joachim"
637,51000637,"Montano, Martis"
638,51000638,"Heinrich, Nikolaus "
639,51000639,"Attaingnant, Pierre"
640,51000640,"Scotto, Gerolamo"
641,51000641,"Gardano, Antonio"
642,51000642,"Gardano, Angelo"
643,51000643,"Scotto, Girolamo - eredi"
644,51000644,"Schönig, Valentin"
645,51000645,"Eder, Wilhelm"
646,51000646,"Wehe, Johann - the elder"
647,51000647,"Enderlin, Jakob"
648,51000648,"Grignani, Ludovico"
649,51000649,"Vierdanck, Johann"
650,51000650,"Jäger, Jakob "
651,51000651,"Gletle, Johann Melchior"
652,51000652,"Runge, Christoph"
653,51000653,"Sonnleitner, Georg"
654,51000654,"Kreß, Johann Albrecht"
655,51000655,"Trew, Paul"
656,51000656,"Fueß, Joachim"
657,51000657,"Movius, Caspar"
658,51000658,"Berg, Adam - the elder"
659,51000659,"Corvinus, Georg"
660,51000660,"Feyerabend, Sigmund"
661,51000661,"Phalèse, Pierre"
662,51000662,"Schein, Johann Hermann"
663,51000663,"Schuster, Jakob"
664,51000664,"Seyffert, Wolfgang "
665,51000665,"Spoor, Johann Friedrich – 2."
666,51000666,"Forckel, Johann "
667,51000667,"Schneider, Zacharias"
668,51000668,"Dehne, Johann Kaspar "
669,51000669,"Mieth, Johann Christoph"
670,51000670,"Stremel, Johann Heinrich"
672,51000672,"Roger, Estienne"
673,51000673,"Roger, Jeanne"
674,51000674,"Le Cène, Michel-Charles"
675,51000675,"Foucault, Henry"
676,51000676,"Leopold, Johann Christian"
677,51000677,"Lotter, Johann Jakob - heirs"
678,51000678,"Lau, Christoph Heinrich"
679,51000679,"Hummel, Johann Julius"
680,51000680,"Götze, Thomas Matthias"
681,51000681,"Hüter, Johann"
682,51000682,"Reyher, Salomon"
683,51000683,"Schall, Johann Michael "
684,51000684,"Wust, Balthasar Christoph – the elder"
685,51000685,"Zunner, Johann David"
686,51000686,"Redinger, Jakob"
687,51000687,"Hochreutiner, Jakob"
688,51000688,"Hochreutiner, Lorenz"
689,51000689,"Bürkli, Johann Heinrich"
690,51000690,"Heidegger und Rahn"
691,51000691,"Heidegger & Co."
692,51000692,"Klosterdruckerei - Wettingen"
693,51000693,"Kroninger, Lorenz"
694,51000694,"Göbel, Gottlieb - heirs"
695,51000695,"Mechel, Johann Konrad von"
696,51000696,"Reyher, Christoph - the elder"
697,51000697,"Bergen, Gimel - III, heirs"
698,51000698,"Zimmermann, Johann Christoph"
699,51000699,"Riedel, Johann"
700,51000700,"Lorbeer, Melchior Gerhard"
701,51000701,"Görlin, Johann - the elder"
702,51000702,"Pastorius, Johann - the younger"
703,51000703,"Veith, Philipp, Martin & Johannes - heirs"
704,51000704,"Montanus, J. & Neuber, U."
705,51000705,"Frommann, Georg Heinrich"
706,51000706,"Felsecker, Wolfgang Eberhard"
707,51000707,"Birckner, Johann "
708,51000708,"Hahn, Johann Erich"
709,51000709,"Hendel, Peter - widow and heirs"
710,51000710,"Reusner, Johann"
711,51000711,"Zachau, Peter"
712,51000712,"Bauer, Johann"
713,51000713,"Kirchner, Christian"
714,51000714,"Görlin, Daniel"
715,51000715,"Wagner, Michael"
716,51000716,"Schnell, Johann Jakob"
717,51000717,"Lang, Johann Baptist"
718,51000718,"Gastl, Johannes"
719,51000719,"Schmid, Johann Michael"
720,51000720,"Wagner, Christian Ulrich"
721,51000721,"Klaffschenckel, Philipp Ludwig"
722,51000722,"Rieger, Mathias"
723,51000723,"Mayer, Bernhard Homodeus"
724,51000724,"Hagerer, Franciscus Salesius Ignatius"
725,51000725,"Lotter, Johann Jakob - the elder"
726,51000726,"Hautt, Heinrich Ignaz Nikodemus"
727,51000727,"Wagner, Johann Christoph "
728,51000728,"Fischer, Johann Caspar Ferdinand"
729,51000729,"Tybely, Václav Jan"
730,51000730,"Samm, Joseph"
731,51000731,"Covens, Jan - the elder"
732,51000732,"Hare, Joseph"
733,51000733,"Walsh, John"
734,51000734,"Spieringk, Nikolaus "
735,51000735,"Härtel, Zacharias - the younger"
736,51000736,"Froberger, Christian Sigmund"
737,51000737,"Endter, Johann Andreas - heirs"
738,51000738,"Mortier, Pieter"
739,51000739,"Felsecker, Johann Jonathan"
740,51000740,"Pointel, Antoine"
741,51000741,"Desbordes, Henri"
742,51000742,"Monti, Pier Maria"
743,51000743,"Silvani - heirs"
744,51000744,"Vigone, Francesco"
745,51000745,"Fagnani, Carlo Maria"
746,51000746,"Fei, Giacomo"
747,51000747,"Aertssens, Hendrik - III"
748,51000748,"Urban, Heinrich"
749,51000749,"Endter, Wolfgang Moritz"
750,51000750,"Stock, Johann Adolph"
751,51000751,"Diehl, Balthasar"
752,51000752,"Höffling, Johannes Elias"
753,51000753,"Rolla, Giorgio"
754,51000754,"Vincenti, Alessandro"
755,51000755,"Sturm, August"
756,51000756,"Camagno, Carlo"
757,51000757,"Mihl, Erasmus von der"
758,51000758,"Ballard, Christophe"
759,51000759,"Lorme, Jean Louis de"
760,51000760,"Schmid, Balthasar"
761,51000761,"Lang, Johann Georg"
763,51000763,"Boivin - widow"
764,51000764,"Le Clerc, Charles-Nicolas"
765,51000765,"Breitkopf, Johann Gottlob Immanuel"
766,51000766,"Loewe, Gottlieb"
767,51000767,"Dobler, F.J."
768,51000768,"Mayr, Johann"
769,51000769,"Dreherr, Rudolf"
770,51000770,"Sidler, Joseph Bernard"
771,51000771,"Gessner, David (II)"
772,51000772,"Schultes, Hans - the elder"
773,51000773,"Tini, Simon & Lomazzo, Filippo - heirs"
774,51000774,"Carstens, Henrich"
775,51000775,"Meltzer, Adam"
776,51000776,"Hänlin, Gregor"
777,51000777,"Paur, Hans"
778,51000778,"Amadino, Ricciardo"
779,51000779,"Custos, Dominicus"
780,51000780,"Gardano, Antonio – heirs"
783,51000783,"Bergen, Melchior"
785,51000785,"Biber, Heinrich Ignaz Franz"
786,51000786,"Mayr, Johann Baptist"
787,51000787,"Lanckisch, Friedrich"
788,51000788,"Ballard, Jean-Baptiste-Christophe "
789,51000789,"Roussel"
790,51000790,"Ballard, Robert"
791,51000791,"Dietrich, Katharina"
792,51000792,"Gerlach, Theodor"
793,51000793,"le Chevalier, Amedée"
794,51000794,"Blaeu, Pieter; Joan Blaeu"
795,51000795,"Pearson, William"
796,51000796,"Hautt, Gottfried"
797,51000797,"Köhler, Jost; Jakob Köhler"
798,51000798,"Köhler, Jakob"
799,51000799,"Schickhard, Johann Christian"
800,51000800,"Delorme, J.L.; Estienne Roger"
801,51000801,"Komarek, Giovanni Giacomo"
802,51000802,"De Gand"
803,51000803,"Schröter, Johannes"
804,51000804,"Caesar, Johann Melchior [A/I]"
805,51000805,"Dreher, Rudolph"
806,51000806,"Straub, Franz"
807,51000807,"Wagner, Michael [A/I]"
808,51000808,"Gäch, Johann"
809,51000809,"Arnold, Georg"
810,51000810,"Erfurt, Andreas"
811,51000811,"Magni, Francesco"
812,51000812,"Schönig, Johann Jakob"
813,51000813,"Geng, Johann"
814,51000814,"Hautt, David"
815,51000815,"Magni, Bartolomeo"
816,51000816,"Friessem, Friedrich"
817,51000817,"Hertz, Hiob"
818,51000818,"Jäcklin, Johann"
819,51000819,"Wagner, Matthäus"
820,51000820,"Schlüter, Georg"
821,51000821,"Happach, Martin"
822,51000822,"Lotter, Johann Jakob"
823,51000823,"Bencard, Johann Caspar"
824,51000824,"Kieffer, Karl"
825,51000825,"Schönig, Johann Ulrich"
826,51000826,"Stein, Nicolaus"
827,51000827,"Richter, Wolfgang"
828,51000828,"Heinrich, Nicolaus"
829,51000829,"Jobin, Bernhard [A/I]"
830,51000830,"Vincenti, Giacomo"
831,51000831,"Kaufmann, Paul"
832,51000832,"Vollmar, Johann"
833,51000833,"Praetorius, Johann"
834,51000834,"Sätzl, Christoph"
835,51000835,"Gerlach, Katharina"
836,51000836,"Berg"
837,51000837,"Hertzroy, Johann"
838,51000838,"Dedekind, Friedrich Melchior"
839,51000839,"Busch, B."
840,51000840,"Borboni, Nicolò"
841,51000841,"Agricola, Daniel"
842,51000842,"Montano, Mars"
843,51000843,"Carstens, Heinrich"
844,51000844,"Reinmichel, Leonhard"
845,51000845,"Willers, Georg"
846,51000846,"Straub, Leonhard"
847,51000847,"Zetzner, Lazarus"
848,51000848,"Lomazzo, Filippo"
849,51000849,"Helmlin, Johann Maximilian"
850,51000850,"Haenlin, Gregor"
851,51000851,"Apiarius, Samuel"
852,51000852,"Petri, Heinrich"
853,51000853,"Curio, Hieronymus"
854,51000854,"Petreius, Johannes"
855,51000855,"Berg, Johann vom"
856,51000856,"Gardano, Alessandro"
857,51000857,"Hering, Michael"
858,51000858,"Pfeiffer, Laurentius"
859,51000859,"Kühn, Balthasar"
860,51000860,"Endter, Michael"
861,51000861,"Neumayr, Adam"
862,51000862,"Baudrexel, Philipp Jakob"
863,51000863,"Pisarri, Antonio"
864,51000864,"Caldani, Antonio"
865,51000865,"Galley, Johann Michael"
866,51000866,"Straub, Lucas"
867,51000867,"Plawenn, Leopold von"
868,51000868,"Raith, Johann Egidius"
869,51000869,"Lommer, Christian"
870,51000870,"Haffner, Johann Ulrich"
871,51000871,"Fischer, Johann Caspar Ferdinand"
872,51000872,"Hammerschmidt, Andreas"
873,51000873,"Ritzsch, Timotheus"
874,51000874,"Camagno, Giovanni Francesco"
875,51000875,"Reumann, Joachim"
876,51000876,"Bissmarck, Johann"
877,51000877,"Christoph Endter Erben"
878,51000878,"Vicenti, Alessandro"
