"id","ext_id","full_name"
6,51000006,"Abel, Carl Friedrich"
27,51000027,"Agrell, Johan Joachim"
34,51000034,"Ahle, Johann Rudolph"
51,51000051,"Albinoni, Tomaso"
55,51000055,"Aldrovandini, Giuseppe Antonio Vincenzo"
139,51000139,"Arnold, Georg"
146,51000146,"Asola, Giovanni Matteo"
239,51000239,"Bassani, Giovanni Battista"
242,51000242,"Battiferri, Luigi"
288,51000288,"Bellinzani, Paolo Benedetto"
324,51000324,"Bernardi, Stefano"
334,51000334,"Bertali, Antonio"
363,51000363,"Biber, Heinrich Ignaz Franz"
400,51000400,"Bleyer, Georg"
418,51000418,"Bodinus, Sebastian"
485,51000485,"Boyvin, Jacques"
511,51000511,"Briegel, Wolfgang Carl"
578,51000578,"Caldara, Antonio"
595,51000595,"Campra, André"
608,51000608,"Capricornus, Samuel Friedrich"
627,51000627,"Carissimi, Giacomo"
653,51000653,"Cavalli, Pier Francesco"
660,51000660,"Cazzati, Maurizio"
731,51000731,"Cocchi, Gioacchino"
738,51000738,"Collasse, Pascal"
744,51000744,"Colonna, Giovanni Paolo"
757,51000757,"Conradi, Johann Georg"
774,51000774,"Corelli, Arcangelo"
785,51000785,"Cossoni, Carlo Donato"
806,51000806,"Croce, Giovanni"
896,51000896,"Diebold, Kaspar"
925,51000925,"Donati, Ignazio"
938,51000938,"Dressler, Gallus"
989,51000989,"Ebner, Wolfgang"
1041,51001041,"Erlebach, Philipp Heinrich"
1158,51001158,"Fischer, Johann Caspar Ferdinand"
1219,51001219,"Frescobaldi, Girolamo"
1227,51001227,"Friderici, Daniel"
1269,51001269,"Gabrieli, Andrea"
1298,51001298,"Galuppi, Baldassare"
1330,51001330,"Gastoldi, Giovanni Giacomo"
1351,51001351,"Geisler, Benedict"
1431,51001431,"Graf, Christian Ernst"
1432,51001432,"Graf, Friedrich Hartmann"
1434,51001434,"Grancino, Michelangelo"
1435,51001435,"Grandi, Alessandro"
1443,51001443,"Graun, Johann Gottlieb"
1538,51001538,"Hammerschmidt, Andreas"
1540,51001540,"Händel, Georg Friedrich"
1553,51001553,"Hassler, Hans Leo"
1620,51001620,"Hiller, Johann Adam"
1638,51001638,"Hofer, Andreas"
1666,51001666,"Holzbauer, Ignaz Jakob"
1680,51001680,"Horn, Johann Caspar"
1742,51001742,"Jeep, Johann"
1756,51001756,"Jommelli, Niccolò"
1774,51001774,"Käfer, Johann Philipp"
1798,51001798,"Kayser, Isfrid"
1805,51001805,"Keiser, Reinhard"
1821,51001821,"Kerll, Johann Caspar"
1867,51001867,"Kobrich, Johann Anton"
1888,51001888,"Königsperger, Marianus"
1932,51001932,"Kress, Johann Albrecht"
1939,51001939,"Krieger, Johann"
1988,51001988,"La Barre, Michel de"
2004,51002004,"Lambardi, Girolamo"
2018,51002018,"Lang, Johann Georg"
2025,51002025,"Lasso, Orlando di"
2088,51002088,"Leuttner, Georg Christoph"
2166,51002166,"Lotti, Antonio"
2184,51002184,"Lully, Jean-Baptiste"
2229,51002229,"Marchand, Louis"
2268,51002268,"Martino"
2277,51002277,"Mascitti, Michele"
2321,51002321,"Megerle, Abraham"
2327,51002327,"Meiland, Jakob"
2360,51002360,"Meyer von Schauensee, Franz Joseph Leonti"
2417,51002417,"Monteverdi, Claudio"
2425,51002425,"Morales, Cristóbal de"
2616,51002616,"Palestrina, Giovanni Pierluigi da"
2666,51002666,"Pepusch, Johann Christoph"
2678,51002678,"Pergolesi, Giovanni Battista"
2692,51002692,"Pez, Johann Christoph"
2693,51002693,"Pezel, Johann Christoph"
2719,51002719,"Pinzger, Romanus"
2740,51002740,"Planický, Josef Antonín"
2771,51002771,"Porro, Giovanni Giacomo"
2775,51002775,"Della Porta, Francesco"
2787,51002787,"Praetorius, Hieronymus"
2789,51002789,"Praetorius, Michael"
2794,51002794,"Prentz, Caspar"
2846,51002846,"Rathgeber, Johann Valentin"
2868,51002868,"Reinhard"
2906,51002906,"Rigatti, Giovanni Antonio"
2969,51002969,"Rösler, Gregor"
3003,51003003,"Sailer, Leonhard"
3024,51003024,"Sammartini, Giovanni Battista"
3025,51003025,"Sammartini, Giuseppe"
3061,51003061,"Sartorio, Antonio"
3074,51003074,"Scarlatti, Alessandro"
3104,51003104,"Schickhard, Johann Christian"
3108,51003108,"Schlecht, Franz Xaver"
3156,51003156,"Schreiber, Johannes Evangelista"
3267,51003267,"Speer, Daniel"
3270,51003270,"Spieß, Meinrad"
3278,51003278,"Stadlmayr, Johann"
3298,51003298,"Steiner, Johann Ludwig"
3378,51003378,"Telemann, Georg Philipp"
3387,51003387,"Tessarini, Carlo"
3414,51003414,"Torelli, Giuseppe"
3473,51003473,"Valentine, Robert"
3476,51003476,"Valentini, Giuseppe"
3515,51003515,"Viadana, Lodovico"
3519,51003519,"Victoria, Tomàs Luis de"
3538,51003538,"Vivaldi, Antonio"
3539,51003539,"Viviani, Giovanni Bonaventura"
3612,51003612,"Werner, Gregor Joseph"
3624,51003624,"Widmann, Erasmus"
3678,51003678,"Zarlino, Gioseffo"
3685,51003685,"Zeiler, Gallus"
3738,51003738,"Löwenstern, Matthäus Apelles von"
3739,51003739,"Luther, Martin"
3783,51003783,"Porta, Costanzo"
3997,51003997,"Graf, Johann"
4028,51004028,"Hartmann"
4036,51004036,"Hausmann, Valentin"
4113,51004113,"Foggia, Francesco"
4120,51004120,"Grossi, Carlo"
4160,51004160,"Legrenzi, Giovanni"
4172,51004172,"Partenio, Giovanni Domenico"
4183,51004183,"Silvani, Giuseppe Antonio"
4192,51004192,"Ziani, Pietro Andrea"
4321,51004321,"Janequin, Clément"
4400,51004400,"Vinaccesi, Benedetto"
4439,51004439,"Erbach, Christian"
4460,51004460,"Melani, Alessandro"
4474,51004474,"Vulpius, Melchior"
4727,51004727,"Merula, Tarquinio"
4940,51004940,"Bonhomme, Pierre"
4941,51004941,"Bononcini, Giovanni Maria"
4977,51004977,"Pellegrini, Vincenzo"
4994,51004994,"Soriano, Francesco"
5197,51005197,"Agazzari, Agostino"
5200,51005200,"Aichinger, Gregor"
5226,51005226,"Kolberer, Cajetan"
5267,51005267,"Belli, Giulio"
5274,51005274,"Biffi, Antonio"
5289,51005289,"Fonghetto, Paolo"
5334,51005334,"Martinengo, Giulio Cesare"
5338,51005338,"Anonymus"
5389,51005389,"Ghizzolo, Giovanni"
5547,51005547,"Lichtenauer, Paul Ignaz"
5579,51005579,"Mazzaferrata, Giovanni Battista"
5586,51005586,"Miniscalchi, Guglielmo"
5589,51005589,"Monte, Philippe de"
5591,51005591,"Morley, Thomas"
5598,51005598,"Münster, Joseph Joachim"
5599,51005599,"Naldi, Romolo"
5641,51005641,"Rossi, Salomone"
5692,51005692,"Willaert, Adrian"
5700,51005700,"Zucchini, Gregorio"
5809,51005809,"Haym, Nicola Francesco"
5860,51005860,"Manchicourt, Pierre de"
5964,51005964,"Steingaden, Konstantin"
6002,51006002,"Albergati Capacelli, Pirro"
6014,51006014,"Aschenbrenner, Christian Heinrich"
6031,51006031,"Bernhard, Christoph"
6066,51006066,"Knüpfer, Sebastian"
6094,51006094,"Schmidlin, Johannes"
6127,51006127,"Brade, William"
6171,51006171,"Gösswein, Dominicus"
6229,51006229,"Michl, Ferdinand"
6270,51006270,"Ursillo, Fabio"
6440,51006440,"Bachofen, Johann Caspar"
6442,51006442,"Beria, Giovanni Battista"
6453,51006453,"Casati, Gasparo"
6497,51006497,"Du Mont, Henry"
6546,51006546,"Riccio, Teodoro"
6561,51006561,"Tarditi, Orazio"
6565,51006565,"Vitali, Giovanni Battista"
6568,51006568,"Zollikofer von Altenklingen, Kaspar"
