2000005	Credo	50000149	Credo
2000007	Benedictus	50000523	Benedictus
2000008	Agnus Dei	50001948	Agnus Dei
2000036	Deus Deus meus	50013271	Deus Deus meus
2000064	Laudate Dominum	50001997	Laudate Dominum
3001156	Venti protervi silete	50002387	Venti protervi silete
3001305	Veneremur Deum in sanctis ejus	50004814	Veneremur Deum in sanctis ejus
3001306	O domina per nomina	50004805	O domina per nomina
3001313	Maria quae mortalium preces amanter excipis	50021067	Maria quae mortalium preces amanter excipis
3001321	Exsultavit cor meum in Deo salutari meo	50021089	Exsultavit cor meum in Deo salutari meo
3001322	Lauda de caelis Deum	50018012	Lauda de caelis Deum
3001325	Venite omnes gentes exsultemus Domino	50004841	Venite omnes gentes exsultemus Domino
3001334	In te confido o Jesu mi Jesu amator noster	50011688	In te confido o Jesu mi Jesu amator noster
3001336	Te cuncti celebrent agmina caelitum	50021135	Te cuncti celebrent agmina caelitum
3001341	Vivo plangendo	50011698	Vivo plangendo
3001342	Pereo o sponse cur sinis me perire	50011699	Pereo o sponse cur sinis me perire
3001343	Quando sperare donabit	50011701	Quando sperare donabit
3001345	Tota est in timore	50011702	Tota est in timore
3001346	Eia lucete stellae caelorum	50011703	Eia lucete stellae caelorum
3001348	Spero sed cum tremore	50011704	Spero sed cum tremore
3001350	Amore Jesu solum	50011705	Amore Jesu solum
3001352	Ah mori o Deus en malo quam peccare	50011706	Ah mori o Deus en malo quam peccare
3001354	Ah peccavi male feci o Deus	50011708	Ah peccavi male feci o Deus
3001356	Ite fatales catenae mentis acerbae poenae	50011711	Ite fatales catenae mentis acerbae poenae
3001357	Munde quam in fidelis	50011712	Munde quam in fidelis
3001358	Care Jesu amo te	50011713	Care Jesu amo te
3001361	Num tempora sunt plena	50011715	Num tempora sunt plena
3001365	Munera aurum myrrham thus	50011717	Munera aurum myrrham thus
3001485	Vivat floreat crescat	50015806	Vivat floreat crescat
3002202	Tota pulchra es Maria	50015881	Tota pulchra es Maria
3002316	Primum surgo ex sepulchro	50011719	Primum surgo ex sepulchro
3002318	Resurgens mortem superavit	50011720	Resurgens mortem superavit
3002319	Amantium leges conglutinant Reges	50011721	Amantium leges conglutinant Reges
3002321	Quid peccavi misera dic o sponse erga te	50011722	Quid peccavi misera dic o sponse erga te
3002323	Ignis sons o lux o amor	50011723	Ignis sons o lux o amor
3002324	Mens et artus vires cadunt lux	50011725	Mens et artus vires cadunt lux
3002325	Terribilis Dei potestas	50011726	Terribilis Dei potestas
3002327	In convertendo tunc repletum est gaudio	50021142	In convertendo tunc repletum est gaudio
3002328	Eia crucis triumphos cantare	50021143	Eia crucis triumphos cantare
3002330	O sacra caeli lumina ad sancti Mauri	50021149	O sacra caeli lumina ad sancti Mauri
3002332	Turtur offert turturem	50021150	Turtur offert turturem
3002333	Joseph David filius clara stirpe natus	50021151	Joseph David filius clara stirpe natus
3002334	Salve Bernarde inclyte	50021161	Salve Bernarde inclyte
3002336	Fortes avete milites et purpurati	50021169	Fortes avete milites et purpurati
3002337	O virum ineffabilem beatum Martinum	50021171	O virum ineffabilem beatum Martinum
3002338	Organis cantantibus Caecilia virgo	50021172	Organis cantantibus Caecilia virgo
3002355	Haec es domus Domini consecrata nomine creatoris	50015999	Haec es domus Domini consecrata nomine creatoris
3002356	O Jesu dulcis o Jesu pie	50016011	O Jesu dulcis o Jesu pie
3002652	Ave gratia plena	50016787	Ave gratia plena
3002790	Tuam coronam adoramus Domine	50004984	Tuam coronam adoramus Domine
