400003512	ob 1, 2, cor 1, 2 missing	
400003515	a-vla and cor 1, 2 missing	
400003520	clno 1, 2 and timp missing	
400003523	T missing	
400003524	vla and cor 1, 2 missing	
400003525	vla and cor 1, 2 missing	
400003528	ob or fl 1, 2 and cor 1, 2 missing	
400003534	vlne, 3 clno and timp missing	
400003540	vl 1, 2 missing	
400003555	cor 1, 2 missing	
400003556	clno 1, 2 missing	
400003558	vl 2, vlne and org missing	
400003559	T missing	
400003567	cor 1, 2 missing	
400003570	B, vla, cor 1, 2 missing	
400003571	vlne, ob 1, 2, clno 1, 2 missing	
400003573	A, vl 1, 2 missing	
400003578	vla and cor 1, 2 missing	
400003580	ob and cor 1 missing	
400003589	org missing	
400003592	vla missing	
400003593	timp missing	
400003594	S, T and clno 1, 2 missing	
400003602	T, B, vl 1, a-vla, cor 1, 2 missing	
400003604	cor 2 missing	
400003611	vocal parts, vl 1, 2 and org missing	
400003612	A, B, vl 1, 2 and timp missing	
400003613	S, T and org missing	
400003616	other parts missing	
400003621	other parts missing	
400003624	other parts missing	
400003626	other parts missing	
400003628	vla and timp missing	
400003631	cor 2 missing	
400003633	timp missing	
400003636	strings missing	
400003644	clno 1, 2 and timp missing	
400003648	b missing	
400003653	other parts missing	
400003654	vl 2 missing	
400003660	other parts missing	
400003661	other parts missing	
400003668	cor 2 missing	
400003678	orch parts missing	
400003683	fl 1 missing	
400003687	other parts missing	
400003696	org missing	
400003703	cor 1, 2 missing	
400003704	other parts missing	
400003706	S 2 missing	
400003707	vl 1, 2 and org missing	
400003709	org and cor 1, 2 missing	
400003710	other parts missing	
400003711	vla missing	
400003712	S 2 missing	
400003718	vl 1 missing	
400003719	vl 1, 2 and cor 1, 2 missing	
400003721	vla missing	
400003722	vl 1, 2 and org missing	
400003724	T and vl 1, 2 missing	
400003729	vl 2 missing	
400003730	org missing	
400003735	fl 1, 2, cor 1, 2, clno 1, 2 and timp missing	
400003736	vla missing	
400003737	a-vla and cor 1, 2 missing	
400003738	clno 1, 2 missing	
400003739	cor 1, 2 missing	
400003776	other parts missing	
400003777	other parts missing	
400003778	cor 1, 2 missing	
400003779	vla, cor 1, 2 missing	
400003780	tr 1, 2 missing	
400003781	cor 1, 2 missing	
400003783	other parts missing	
400003784	other parts missing	
400003786	ob 1, 2 missing	
400003803	other parts printed	
400003804	other parts missing	
400003820	vla missing	
400003828	other parts missing	
400003829	other parts missing	
400003831	other parts missing	
400003849	cor 1, 2 missing	
400003852	clno 1, 2 missing	
400003859	other parts missing	
400003865	B missing	
400003873	other parts missing	
400003878	p.1-6, 1-5, 1-5, 1-5	x
400003880	p.11-16, 8-12, 8-12, 7-10	x
400003881	vl missing	
400003886	org missing	
400003893	vla 2 and cor 2 missing	
400003894	other parts missing	
400003908	other parts missing	
400003909	chalumeau 1, 2 and org missing	
400003910	vl 1, 2 missing	
400003912	chalumeau 1, 2 and org missing	
400003913	other parts missing	
400003930	other parts missing	
400003932	other parts missing	
400003933	other parts missing	
400003934	vl 1 missing	
400003935	vl 1 and fag missing	
400003942	fl 2 missing	
400003950	vl and fl missing	
400004004	other parts missing	
400004007	other parts missing	
400004020	other parts missing	
400004037	vla missing	
400004039	vlne 2, tromba and timp missing	
400004042	ob 1, 2, cor 1, 2 missing	
400004052	V 2 missing	
400004053	other parts missing	
400004054	other parts missing	
400004055	vl 1, 2 and cor 1, 2 missing	
400004062	fl or vl and vlc missing	
400004065	B and cor 1 missing	
400004068	vocal parts missing	
400004072	B missing	
400004075	vl 1 missing	
400004079	vla missing	
400004084	other parts missing	
400004122	other parts missing	
400004128	vla probably missing	
400004131	clno 1, 2 and timp missing	
400004139	cor 1, 2 missing	
400004171	other parts missing	
400004173	cor 1, 2 missing	
400004176	other parts missing	
400004177	clno 1, 2 and timp missing	
400004180	ob 1, 2 and cor 2 missing	
400004188	B and vlc missing	
400004190	other parts missing	
400004202	other parts missing	
400004227	1 vocal part missing	
400004254	vl 2 missing	
400004255	A missing	
400004259	cor 1, 2 missing	
400004278	ob 1 missing	
400004286	other parts missing	
400004294	ob 1, 2 and cor 1, 2 missing	
400004298	other parts missing	
400004305	vla missing	
400004306	vl 2 missing	
400004307	ob 1 missing	
400004310	vl 1 missing	
400004314	vl 1, ob 1, 2 and cor 1, 2 missing	
400004344	clno 1, 2 missing	
400004346	vl 2 missing	
400004354	other parts missing	
400004355	other parts missing	
400004367	other parts missing	
400004369	a-vla and cor 1, 2 missing	
400004371	fl 1, 2 missing	
400004376	cor 1 missing	
400004379	vla missing	
400004381	vl 1 missing	
400004390	ob 2 missing	
400004402	other parts missing	
400004411	cor 1, 2 missing	
400004413	vl 1 missing	
400004418	other parts missing	
400004427	S missing	
400004439	ob and cor 1 missing	
400004472	A missing	
400004482	cor 1, 2 missing	
400004492	other parts missing	
400004495	other parts missing	
400004496	other parts missing	
400004497	other parts missing	
400004503	A and T missing	
400004504	org missing	
400004510	other parts missing	
400004511	other parts missing	
400004512	other parts missing	
400004513	other parts missing	
400004537	other parts missing	
400004538	other parts missing	
400004539	other parts missing	
400004543	parts missing	
400004544	other parts missing	
400004549	vla missing	
400004554	other parts missing	
400004558	other parts missing	
400004559	other parts missing	
400004568	cor missing	
400004602	other parts missing	
400004605	cor 2 missing	
400004607	cor 1 missing	
400004616	B missing	
400004632	cor 1, 2 missing	
400004634	other parts missing	
400004645	other parts missing	
400004678	other parts missing	
400004679	S, vl 2 and clno 2 missing	
400004690	S, A, T, B missing	
400004693	A, T, B, vl 1, 2 and bc missing	
400004694	S, A, B, vl 1, 2 missing	
400004700	other parts missing	
400004710	other parts missing	
400004712	vl 1 and b missing	
400004713	vl 2 missing	
400004714	vl 2 missing	
400004715	vl 2 missing	
400004748	org missing	
400004749	org missing	
400004750	org missing	
400004751	org missing	
400004752	org missing	
400004754	other parts missing	
400004755	other parts missing	
400004756	T, B, vl 1, 2, clno 1, 2, org missing	
400004757	T, B, vl 1, 2, cor 1, 2, org missing	
400004758	T, B, vl 1, 2, clno or cor 1, 2, org missing	
400004759	T, B, vl 1, 2, clno 1, 2, org missing	
400004760	T, B, vl 1, 2, clno 1, 2, org missing	
400004761	T, B, vl 1, 2, cor 1, 2, org missing	
400004762	T, B, vl 1, 2, cor 1, 2, org missing	
400004763	T, B, vl 1, 2, cor 1, 2, org missing	
400004766	other parts missing	
400004824	other parts missing	
400004839	p.59, 51, 39; 71, 67, 69	x
400004859	other parts missing	
400004860	other parts missing	
400004861	other parts missing	
400004862	other parts missing	
400004863	other parts missing	
400004864	other parts missing	
400004865	other parts missing	
400004866	other parts missing	
400004867	other parts missing	
400004868	other parts missing	
400004869	other parts missing	
400004873	vl missing	
400004874	vl missing	
400004875	vl missing	
400004876	vl missing	
400004877	vl missing	
400004878	vl missing	
400004916	vl 1 and b missing	
400004917	vl 1 and b missing	
400004918	vl 1 and b missing	
400004919	vl 1 and b missing	
400004920	vl 1 and b missing	
400004921	vl 1 and b missing	
400004922	vl 1 and b missing	
400004923	vl 1 and b missing	
400004924	vl 1 and b missing	
400004927	b missing	
400004934	vl missing	
400004935	vl missing	
400004936	vl missing	
400004937	vl missing	
400004938	vl missing	
400004939	vl missing	
400004947	vl missing	
400004948	vl missing	
400004949	vl missing	
400004950	vl and pf missing	
400004951	vl and pf missing	
400004952	vl and pf missing	
400004954	vl 1 missing	
400004955	vl 1 missing	
400004962	pf 1 missing	
400004963	pf 1 missing	
400005372	vl 1, 2 missing	
400005373	vl 1, 2 missing	
400005374	vl 1, 2 missing	
400005375	vl 1, 2 missing	
400005376	vl 1, 2 missing	
