50007821	6430		NULL	Gombart & Comp., Augsburg
50007428	6812		NULL	Basler Kammerorchester
50007879	11915		NULL	Bureau de Musique C. F. Peters, Leipzig
50007798	71028		NULL	Schlesinger'sche Buch- und Musik-Handlung, Berlin
50007735	16697		NULL	Bern, Stadttheater
50007653	18619		NULL	Neue Zürcher Nachrichten
50007636	78931		NULL	Böhm, Anton, Sohn
50007436	33180		NULL	Allgemeiner Deutscher Cäcilienverein
50007410	36228		NULL	Radio Bern
50007913	38768		NULL	Cocks & Comp., London
50007429	38900		NULL	Liederkranz Frankfurt am Main
50007868	40010191		NULL	Nikolaus Simrock, Bonn
50007911	40535		NULL	Tobias Haslinger, Wien
50007061	44900		NULL	Aschaffenburg, Städtische Musikschule
50007165	46200		NULL	Frankfurter Liederkranz
50007225	56870		NULL	Berner Liedertafel
50007502	56880		NULL	Dresdner Lehrergesangsverein
50007213	62689		NULL	Basler Liedertafel
50007898	62701		NULL	Tobias Haslingers Witwe und Sohn, Wien
50007834	62769		NULL	Verlag J. J. Weber, Leipzig
50007901	40002683		NULL	August Cranz, Hamburg
50007787	62778		NULL	Ries & Erler, Berlin
50007256	63346		NULL	Liedertafel Innsbruck
50007374	63413		NULL	Thomanerchor Leipzig
50007384	66700		NULL	Universität Freiburg
50007925	69462		NULL	Friedrich Pustet (Regensburg)
50007609	71008		NULL	Norddeutscher Rundfunk (NDR)
50007414	71469		NULL	Berner Männerchor
50007399	74066		NULL	Freies Gymnasium Bern
50007684	75478		NULL	Radio Basel
50007740	77956		NULL	Oscar Brandstetter
50007883	78513		NULL	H.F. Müller, Wien
50007059	79231		NULL	Basel, Stadttheater
50007861	79471		NULL	Amadeus Verlag, Winterthur
50007204	79500		NULL	Tonhallegesellschaft
50007360	79793		NULL	Mainzer Liedertafel
50007750	79923		NULL	Wiener Männergesangverein
50007484	79924		NULL	Wiener Schubertbund
50007718	80802		NULL	Fondation de la Confédération Suisse
50007405	82930		NULL	Universität Bern
50007936	85398		NULL	Gesellschaft für das Gute und Gemeinnützige Basel
50007139	40000434		NULL	Artaria
50007843	20000006		NULL	J. J. Hummel, Berlin
50007124	30000001		NULL	Aargauische Kantonsbibliothek
50007119	30000002		NULL	Napoleonmuseum
50007115	30000003		NULL	Öffentliche Bibliothek der Universität Basel, Musiksammlung
50007123	30000004		NULL	Schweizerische Nationalbibliothek
50007116	30000005		NULL	Musikbibliothek des Stifts
50007120	30000006		NULL	Kloster Einsiedeln, Musikbibliothek
50007096	30000007		NULL	Engelberg, Musik-Bibliothek Stift Engelberg
50007110	30000007		NULL	Kloster, Musikbibliothek
50007125	30000008		NULL	Thurgauische Kantonsbibliothek
50007128	30000009		NULL	St. Martin
50000010	30000010		CH-MÜ	Frauenkloster St. Johann, Müstair
50007109	30000010		NULL	Frauenkloster St. Johann
50007198	30000010		NULL	Kloster S Johann Müstair
50007114	30000011		NULL	Benediktinerinnen-Abtei St. Andreas
50007122	30000012		NULL	Zentralbibliothek Solothurn, Musiksammlung
50007922	30000012		NULL	CH-SO
50007126	30000013		NULL	Stadtbibliothek, Studienbibliothek
50007117	30000014		NULL	Zentralbibliothek Zürich, Musikabteilung
50000047	30000051		D-KÖ	Historisches Museum und Bachgedenkstätte
50000053	30000059		D-MöG	Evangelisch-lutherisches Pfarramt St. Johannis, Kantoreiarchiv
50000101	30000113		D-GÖs	Oberlausitzische Bibliothek der Wissenschaften
50007129	30000122		NULL	Christkatholisches Pfarramt
50000121	30000135		H-KŐ	Plébàniatemplom Kottatàra
50000166	30000186		D-Möu	Universitäts- und Landesbibliothek
50007130	30000212		NULL	Urner Staatsarchiv und Kantonsbibliothek
50007131	30000213		NULL	Domchorarchiv
50007134	30000214		NULL	Kloster St. Katharina
50007133	30000219		NULL	Benediktinerkloster
50007150	30000220		NULL	Pfarrarchiv St. Michael
50007135	30000222		NULL	Hochschule der Künste Bern, Musikbibliothek
50007132	30000224		NULL	Zisterzienserinnenkloster Magdenau
50007136	30000232		NULL	Staatsarchiv des Kantons Wallis
50007137	30000233		NULL	Bibliothèque publique et universitaire de Neuchâtel
50007138	30000234		NULL	Conservatoire de Musique, Bibliothèque
50000218	30000239		D-Mös	Santini-Bibliothek
50000219	30000241		D-Möp	Diözesanbibliothek
50007140	30000244		NULL	Privatbibliothek Huber
50007141	30000246		NULL	Landesbibliothek des Kantons Glarus
50007142	30000247		NULL	Kloster Glattburg
50007143	30000255		NULL	Archiv der evangelischen Brüdersozietät
50007182	30000276		NULL	Staatsarchiv des Kantons Schaffhausen
50007144	30000277		NULL	Staatsarchiv des Kantons Graubünden
50007183	30000278		NULL	Katholische Pfarrgemeinde
50007200	30000279		NULL	Universität Bern, Institut für Musikwissenschaft
50007145	30000280		NULL	Privatbibliothek Dr. Hans Gugger
50007146	30000281		NULL	Archives cantonales vaudoises
50007184	30000283		NULL	Stadtarchiv
50007789	30000283		NULL	Stadtarchiv Olten
50007187	30000294		NULL	Biblioteca Fundaziun Planta
50000316	30000342		A-GÖ	Göttweig, Benediktinerstift Göttweig, Musikarchiv
50000317	30000343		A-Gö	Franziskaner-Kloster, Bibliothek
50000336	30000362		A-MÖ	Pfarrkirche St. Othmar, Bibliothek
50000341	30000367		A-Sangermüller	Privatbibliothek Dr. Rudolph Angermüller
50000361	30000387		A-Wdtö	Gesellschaft zur Herausgabe von Denkmälern der Tonkunst in Österreich, Bibliothek
50007813	30000398		NULL	Österreichische Nationalbibliothek, Musiksammlung
50000374	30000400		A-Wögm	Österreichische Gesellschaft für Musik
50007539	30000405		NULL	Schubertbund Wien
50007147	30000506		NULL	Fondation Martin Bodmer, Bibliotheca Bodmeriana
50007074	30000507		NULL	Disentis, Musikbibliothek Stift Disentis
50007194	30000507		NULL	Stift Disentis, Musikbibliothek
50007149	30000509		NULL	Bibliothèque cantonale et universitaire de Fribourg
50007005	30000515		NULL	Weingarten, Chor
50007192	30000516		NULL	Bibliothèque de Genève
50007185	30000518		NULL	Klosterarchiv
50007168	30000523		NULL	Zentral- und Hochschulbibliothek Luzern
50007232	30000524		NULL	Bibliothèque du Conservatoire de Musique
50007197	30000526		NULL	Bibliothèque cantonale et universitaire de Lausanne
50007188	30000537		NULL	Stiftsbibliothek
50007602	30000538		NULL	Kantonsbibliothek St. Gallen (Vadiana)
50007148	30000542		NULL	Bischöfliches Ordinariat der Diözese Basel, Diözesanarchiv des Bistums Basel
50000562	30000604		CZ-Pdobrovského	Nàrodní muzeum, Dobrovského (Nostickà) knihovna
50000604	30000649		D-AÖ	Kapuziner-Kloster St. Konrad, Bibliothek
50000657	30000705		D-Bö	Kulturgut Fürst zu Ysenburg und Büdingen
50000674	30000724		D-DÖF	Pfarrbibliothek
50000679	30000730		D-Dögg	Staatliches Görres-Gymnasium, Lehrerbibliothek
50000680	30000731		D-Döha	Nordrhein-Westfälisches Hauptstaatsarchiv
50000681	30000732		D-Dök	Goethe-Museum, Anton und Katharina Kippenberg-Stiftung
50000682	30000733		D-Döl	Universitätsbibliothek
50000683	30000734		D-Dömb	Stadtbüchereien Düsseldorf, Musikbücherei
50000684	30000735		D-DöN	Bibliothek Graf zu Toerring-Jettenbach
50000685	30000736		D-DöR	Stadtbücherei, Leopold-Hoesch-Museum
50005395	30000761		D-FLz	Landeszentralbibliothek Schleswig-Holstein
50000818	30000877		D-Löh	Bibliothek der Hansestadt Lübeck, Musikabteilung
50000856	30000915		D-MÖ	Evangelisch-lutherische Kirchengemeinde St. Nikolai, Bibliothek
50000859	30000918		D-Möd	Bischöfliches Diözesanarchiv
50000860	30000919		D-Möms	Musikwissenschaftliches Seminar der Westfälischen Wilhelms-Universität
50000861	30000920		D-Mört	Seminar für reformierte Theologie
50000862	30000921		D-Mösa	Staatsarchiv
50000918	30000982		D-Rö	Fürst Castell-Rüdenhausen, Bibliothek
50000930	30000996		D-SCHÄ	Klosterbibliothek
50000959	30001027		D-ö	Leopold-Sophien-Bibliothek
50000987	30001057		D-Wöd	Diözesanarchiv
50000988	30001058		D-Wöms	Musikwissenschaftliches Seminar der Universität
50000989	30001059		D-Wöp	Priesterseminar
50000990	30001060		D-Wösa	Stadtarchiv
50000991	30001061		D-Wöu	Julius-Maximilians-Universität, Universitätsbibliothek
50001019	30001091		D-BKÖ	Pfarrarchiv
50001020	30001092		D-BKÖs	Forschungs- und Gedenkstätte im Geburtshaus des Komponisten Heinrich-Schütz-Haus
50001036	30001108		D-DÖ	Pfarrbibliothek Sankt Nikolai
50001037	30001109		D-DRö	Evangelische Kirchengemeinden Bartholomäus
50001060	30001132		D-FRÖ	Pfarrarchiv
50001063	30001135		D-Fökahl	Privatsammlung Annemarie Kahl
50001078	30001151		D-GLAUhüttel	Privatbibliothek Dr. Walter Hüttel
50001082	30001155		D-GÖp	Evangelischer Parochialverband, Bibliothek
50001083	30001156		D-GÖspp	Kirchenbibliothek St. Peter und Paul
50001087	30001160		D-GRÄk	Kantoreiarchiv
50001088	30001161		D-GRö	Pfarrarchiv
50001090	30001163		D-Gö	Museum der Stadt
