50000081,3,"Bellerofonte, Il",Il Bellerofonte,,
50000199,3,"Ammalato dalla podagra, Un",Un Ammalato dalla podagra,1,
50000200,3,"Madre e san Antonio, La",La Madre e san Antonio,1,
50000201,4,"Liebe des Vaterlands, Die",Die Liebe des Vaterlands,,
50000202,4,"Bezauberung, Die",Die Bezauberung,,
50000203,4,"Übel gesittete Jugend, Die",Die Übel gesittete Jugend,1,
50000207,3,"Belle Arsène, La",La Belle Arsène,1,
50000208,4,"Nachtwächter, Der",Der Nachtwächter,,
50000212,2,"Avaro, L'",L'Avaro,1,
50000219,4,"Fürstengruft, Die",Die Fürstengruft,,
50000233,3,"Sogno di Scipione, Il",Il Sogno di Scipione,1,
50000237,3,"Filosofo di campagna, Il",Il Filosofo di campagna,1,
50000246,4,"Tod Jesu, Der",Der Tod Jesu,,
50000279,4,"Cosa rara, Una",Una Cosa rara,1,
50000283,4,"Leiden Jesu, Die",Die Leiden Jesu,,
50000284,4,"Schadenfreude, Die",Die Schadenfreude,,
50000300,4,"Engelbergische Talhochzeit, Die",Die Engelbergische Talhochzeit,,
50000303,3,"Calliroe, La",La Calliroe,,
50000305,3,"Trionfo di Clelia, Il",Il Trionfo di Clelia,1,
50000307,3,"Demetrio, Il",Il Demetrio,,
50000322,3,"Due contesse, Le",Le Due contesse,1,
50000323,3,"Duello, Il",Il Duello,1,
50000324,3,"Gran Cid, Il",Il Gran Cid,1,
50000325,3,"Serva padrona, La",La Serva padrona,1,
50000326,3,"Grotta di Trofonio, La",La Grotta di Trofonio,1,
50000329,2,"Innocente fortunata, L'",L'Innocente fortunata,1,
50000330,3,"Tamburo, Il",Il Tamburo,1,
50000331,3,"Disfatta di Dario, La",La Disfatta di Dario,1,
50000356,3,"Mercato di Malmantile, Il",Il Mercato di Malmantile,1,
50000524,3,"Monaco, La",La Monaco,1,
50000569,3,"Mélomanie, La",La Mélomanie,1,
50000570,3,"Prisonnière, La",La Prisonnière,1,
50000572,4,"Gefangene, Die",Die Gefangene,,
50000576,4,"Sauvages, Les",Les Sauvages,1,
50000577,3,"Mort de Marie Antoinette, La",La Mort de Marie Antoinette,1,
50000586,2,"Amore artigiano, L'",L'Amore artigiano,1,
50000589,2,"Amitié à l'épreuve, L'",L'Amitié à l'épreuve,1,
50000590,2,"Ami de la maison, L'",L'Ami de la maison,1,
50000591,3,"Huron, Le",Le Huron,1,
50000592,3,"Magnifique, Le",Le Magnifique,1,
50000594,3,"Rosière de Salency, La",La Rosière de Salency,1,
50000596,3,"Tableau parlant, Le",Le Tableau parlant,1,
50000603,3,"Clemenza di Tito, La",La Clemenza di Tito,1,
50000612,3,"Déserteur, Le",Le Déserteur,1,
50000615,2,"Olimpiade, L'",L'Olimpiade,1,
50000618,3,"Finte contesse, Le",Le Finte contesse,1,
50000621,3,"Sorcier, Le",Le Sorcier,1,
50000627,3,"Buona figliuola, La",La Buona figliuola,1,
50000630,3,"Buona figliuola maritata, La",La Buona figliuola maritata,1,
50000633,2,"Esclave ou Le marin généreux, L'",L'Esclave ou Le marin généreux,1,
50000636,3,"Pescatrice, La",La Pescatrice,1,
50000646,3,"Bourgeois gentilhomme, Le",Le Bourgeois gentilhomme,1,
50000647,3,"Pastor fido, Il",Il Pastor fido,1,
50000651,4,"Rosenband, Das",Das Rosenband,,
50000667,4,"Hirten bei der Krippe zu Bethlehem, Die",Die Hirten bei der Krippe zu Bethlehem,,
50000669,4,"Macht der Töne, Die",Die Macht der Töne,,
50000670,4,"Effetti della musica, Gli",Gli Effetti della musica,1,
50000679,4,"Battle of Prague, The",The Battle of Prague,1,
50000681,3,"Bataille de Prague, La",La Bataille de Prague,1,
50000690,4,"Schiavi per amore, Gli",Gli Schiavi per amore,1,
50000693,4,"Prétendus, Les",Les Prétendus,1,
50000744,4,"Vier Temperamente, Die",Die Vier Temperamente,1,
50000769,4,"Freundschaft, Die",Die Freundschaft,,
50000785,3,"Contadina astuta, La",La Contadina astuta,1,
50000798,4,"Apotheke, Die",Die Apotheke,,
50000825,5,"Blume auf Volkmars und Rogers Grab, Eine",Eine Blume auf Volkmars und Rogers Grab,,
50000828,4,"Fluß durchs Tal, Der",Der Fluß durchs Tal,,
50000829,4,"Schiffende, Die",Die Schiffende,,
50000834,4,"Glückliche Bauer, Der",Der Glückliche Bauer,1,
50000835,4,"Schmetterling, Der",Der Schmetterling,,
50000836,4,"Mond, Der",Der Mond,,
50000837,4,"Kleines Unrecht, Ein",Ein Kleines Unrecht,1,
50000839,4,"Rotkehlchen, Das",Das Rotkehlchen,,
50000840,4,"Rote Schmetterling, Der",Der Rote Schmetterling,1,
50000841,4,"Lamm, Das",Das Lamm,,
50000854,3,"Calamita de' cuori, La",La Calamita de' cuori,1,
50000868,2,"Olandese in Italia, L'",L'Olandese in Italia,,
50000882,4,"Harfenist, Der",Der Harfenist,,
50000883,4,"Neusonntagskind, Das",Das Neusonntagskind,,
50000884,4,"Zauberflöte, Die",Die Zauberflöte,,
50000920,3,"Fiera di Venezia, La",La Fiera di Venezia,1,
50000931,2,"Viaggiatori felici, I",I Viaggiatori felici,1,
50000936,4,"Israeliten in der Wüste, Die",Die Israeliten in der Wüste,,
50000939,4,"Amerikanerin, Die",Die Amerikanerin,,
50000940,4,"Religion, Die",Die Religion,,
50000943,3,"Villanella rapita, La",La Villanella rapita,1,
50000948,3,"Convito, Il",Il Convito,1,
50000949,4,"Schmaus, Der",Der Schmaus,,
50000950,2,"Italiana in Londra, L'",L'Italiana in Londra,,
50000952,4,"Deux petits Savoyards, Les",Les Deux petits Savoyards,1,
50000954,4,"Schwarze Schloß, Das",Das Schwarze Schloß,1,
50000955,4,"Burg von Montenero, Die",Die Burg von Montenero,,
50000956,3,"Château de Monténéro, Le",Le Château de Monténéro,1,
50000958,3,"Suite des trois fermiers, La",La Suite des trois fermiers,1,
