2017-11-17 13:49:08,454 INFO  [Main] Loaded properties from /tmp/r2rml.properties
2017-11-17 13:49:08,575 INFO  [ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@174d20a: startup date [Fri Nov 17 13:49:08 CET 2017]; root of context hierarchy
2017-11-17 13:49:08,599 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [app-context.xml]
2017-11-17 13:49:08,816 INFO  [Parser] Initializing.
2017-11-17 13:49:08,816 INFO  [Database] Establishing source (relational) connection.
2017-11-17 13:49:09,618 INFO  [Database] Established source (relational) connection.
2017-11-17 13:49:09,967 INFO  [Parser] Initialising Parser
2017-11-17 13:49:09,971 INFO  [Parser] Initialized.
2017-11-17 13:49:09,977 INFO  [Parser] Testing query: <null> with value: select person_id as id, count(sources_to_people.source_id) as src_count from sources_to_people inner join sources on (sources_to_people.source_id=sources.id) where sources.wf_stage!=0 group by person_id
2017-11-17 13:49:32,293 INFO  [Database] Query is ok. Retrieves a dataset with 2 column(s).
2017-11-17 13:49:32,294 INFO  [SelectQuery] Processing query: 'select person_id as id, count(sources_to_people.source_id) as src_count from sources_to_people inner join sources on (sources_to_people.source_id=sources.id) where sources.wf_stage!=0 group by person_id'
2017-11-17 13:49:32,294 INFO  [SelectQuery] Adding table with: name 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)', alias 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)'
2017-11-17 13:49:32,294 INFO  [SelectQuery] Adding field with: name 'person_id as id', table 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)', alias 'id'
2017-11-17 13:49:32,295 INFO  [Parser] Testing query: <null> with value: select id, full_name from people
2017-11-17 13:49:32,309 INFO  [Database] Query is ok. Retrieves a dataset with 2 column(s).
2017-11-17 13:49:32,309 INFO  [SelectQuery] Processing query: 'select id, full_name from people'
2017-11-17 13:49:32,310 INFO  [SelectQuery] Adding table with: name 'people', alias 'people'
2017-11-17 13:49:32,310 INFO  [SelectQuery] Adding field with: name 'id', table 'people', alias 'id'
2017-11-17 13:49:32,310 INFO  [SelectQuery] Adding field with: name 'full_name', table 'people', alias 'full_name'
2017-11-17 13:49:32,310 INFO  [Parser] Testing query: <null> with value: select p.id, p.full_name, l.ext_id, l.provider from person_authorities_links l inner join people p on (l.id=p.id)
2017-11-17 13:50:01,349 INFO  [Database] Query is ok. Retrieves a dataset with 4 column(s).
2017-11-17 13:50:01,349 INFO  [SelectQuery] Processing query: 'select p.id, p.full_name, l.ext_id, l.provider from person_authorities_links l inner join people p on (l.id=p.id)'
2017-11-17 13:50:01,349 INFO  [SelectQuery] Adding table with: name 'person_authorities_links l inner join people p on (l.id=p.id)', alias 'person_authorities_links l inner join people p on (l.id=p.id)'
2017-11-17 13:50:01,349 INFO  [Parser] Testing query: <null> with value: SELECT id, ext_id, provider from person_authorities_links
2017-11-17 13:50:27,894 INFO  [Database] Query is ok. Retrieves a dataset with 3 column(s).
2017-11-17 13:50:27,894 INFO  [SelectQuery] Processing query: 'SELECT id, ext_id, provider from person_authorities_links'
2017-11-17 13:50:27,894 INFO  [SelectQuery] Adding table with: name 'person_authorities_links', alias 'person_authorities_links'
2017-11-17 13:50:27,894 INFO  [SelectQuery] Adding field with: name 'id', table 'person_authorities_links', alias 'id'
2017-11-17 13:50:27,894 INFO  [SelectQuery] Adding field with: name 'ext_id', table 'person_authorities_links', alias 'ext_id'
2017-11-17 13:50:27,894 INFO  [SelectQuery] Adding field with: name 'provider', table 'person_authorities_links', alias 'provider'
2017-11-17 13:50:27,894 INFO  [Parser] Mapping document has 4 logical table views.
2017-11-17 13:50:27,895 INFO  [Parser] Found logical table: <http://www.rism.info/src_count>
2017-11-17 13:50:27,895 INFO  [Parser] Looking up logical table view null
2017-11-17 13:50:28,166 INFO  [SelectQuery] Processing query: 'select person_id as id, count(sources_to_people.source_id) as src_count from sources_to_people inner join sources on (sources_to_people.source_id=sources.id) where sources.wf_stage!=0 group by person_id'
2017-11-17 13:50:28,166 INFO  [SelectQuery] Adding table with: name 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)', alias 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)'
2017-11-17 13:50:28,166 INFO  [SelectQuery] Adding field with: name 'person_id as id', table 'sources_to_people inner join sources on (sources_to_people.source_id=sources.id)', alias 'id'
2017-11-17 13:50:28,166 INFO  [MappingDocument] Searching for query select person_id as id, count(sources_to_people.source_id) as src_count from sources_to_people inner join sources on (sources_to_people.source_id=sources.id) where sources.wf_stage!=0 group by person_id
2017-11-17 13:50:28,166 INFO  [MappingDocument] Found match
2017-11-17 13:50:28,166 INFO  [Parser] Added logical table mapping from uri <http://www.rism.info/src_count>
2017-11-17 13:50:28,166 INFO  [Parser] Found logical table: <http://www.rism.info/label>
2017-11-17 13:50:28,166 INFO  [Parser] Looking up logical table view null
2017-11-17 13:50:28,171 INFO  [SelectQuery] Processing query: 'select id, full_name from people'
2017-11-17 13:50:28,171 INFO  [SelectQuery] Adding table with: name 'people', alias 'people'
2017-11-17 13:50:28,171 INFO  [SelectQuery] Adding field with: name 'id', table 'people', alias 'id'
2017-11-17 13:50:28,171 INFO  [SelectQuery] Adding field with: name 'full_name', table 'people', alias 'full_name'
2017-11-17 13:50:28,171 INFO  [MappingDocument] Searching for query select id, full_name from people
2017-11-17 13:50:28,171 INFO  [MappingDocument] Found match
2017-11-17 13:50:28,171 INFO  [Parser] Added logical table mapping from uri <http://www.rism.info/label>
2017-11-17 13:50:28,171 INFO  [Parser] Found logical table: <http://www.rism.info/Artist>
2017-11-17 13:50:28,171 INFO  [Parser] Looking up logical table view null
2017-11-17 13:50:28,173 INFO  [SelectQuery] Processing query: 'select p.id, p.full_name, l.ext_id, l.provider from person_authorities_links l inner join people p on (l.id=p.id)'
2017-11-17 13:50:28,173 INFO  [SelectQuery] Adding table with: name 'person_authorities_links l inner join people p on (l.id=p.id)', alias 'person_authorities_links l inner join people p on (l.id=p.id)'
2017-11-17 13:50:28,173 INFO  [MappingDocument] Searching for query select p.id, p.full_name, l.ext_id, l.provider from person_authorities_links l inner join people p on (l.id=p.id)
2017-11-17 13:50:28,173 INFO  [MappingDocument] Found match
2017-11-17 13:50:28,173 INFO  [Parser] Added logical table mapping from uri <http://www.rism.info/Artist>
2017-11-17 13:50:28,173 INFO  [Parser] Found logical table: <http://example.com/base#authorities>
2017-11-17 13:50:28,173 INFO  [Parser] Looking up logical table view null
2017-11-17 13:50:28,176 INFO  [SelectQuery] Processing query: 'SELECT id, ext_id, provider from person_authorities_links'
2017-11-17 13:50:28,176 INFO  [SelectQuery] Adding table with: name 'person_authorities_links', alias 'person_authorities_links'
2017-11-17 13:50:28,176 INFO  [SelectQuery] Adding field with: name 'id', table 'person_authorities_links', alias 'id'
2017-11-17 13:50:28,176 INFO  [SelectQuery] Adding field with: name 'ext_id', table 'person_authorities_links', alias 'ext_id'
2017-11-17 13:50:28,176 INFO  [SelectQuery] Adding field with: name 'provider', table 'person_authorities_links', alias 'provider'
2017-11-17 13:50:28,176 INFO  [MappingDocument] Searching for query SELECT id, ext_id, provider from person_authorities_links
2017-11-17 13:50:28,176 INFO  [MappingDocument] Found match
2017-11-17 13:50:28,176 INFO  [Parser] Added logical table mapping from uri <http://example.com/base#authorities>
2017-11-17 13:50:28,176 INFO  [Parser] Mapping document has 4 logical table mappings.
2017-11-17 13:50:28,176 INFO  [Parser] Processing subject map for: <http://www.rism.info/src_count>
2017-11-17 13:50:28,176 INFO  [Parser] Processing literal subject template: http://muscat.rism.info/admin/people/{id}
2017-11-17 13:50:28,177 INFO  [Parser] Logical table mapping uri is http://www.rism.info/src_count
2017-11-17 13:50:28,177 INFO  [Parser] Processing predicate object maps for: <http://www.rism.info/src_count>
2017-11-17 13:50:28,177 INFO  [Parser] Added object column and template from column: src_count
2017-11-17 13:50:28,177 INFO  [Parser] Processing subject map for: <http://www.rism.info/label>
2017-11-17 13:50:28,178 INFO  [Parser] Processing literal subject template: http://muscat.rism.info/admin/people/{id}
2017-11-17 13:50:28,178 INFO  [Parser] Logical table mapping uri is http://www.rism.info/label
2017-11-17 13:50:28,178 INFO  [Parser] Processing predicate object maps for: <http://www.rism.info/label>
2017-11-17 13:50:28,178 INFO  [Parser] Added object column and template from column: full_name
2017-11-17 13:50:28,178 INFO  [Parser] Processing subject map for: <http://www.rism.info/Artist>
2017-11-17 13:50:28,178 INFO  [Parser] Processing literal subject template: http://muscat.rism.info/admin/people/{p.id}
2017-11-17 13:50:28,178 INFO  [Parser] Logical table mapping uri is http://www.rism.info/Artist
2017-11-17 13:50:28,178 INFO  [Parser] Processing predicate object maps for: <http://www.rism.info/Artist>
2017-11-17 13:50:28,178 INFO  [Parser] Processing object map template: {ext_id}
2017-11-17 13:50:28,178 INFO  [Parser] Found rr:termType BlankNode
2017-11-17 13:50:28,178 INFO  [Parser] Processing subject map for: <http://example.com/base#authorities>
2017-11-17 13:50:28,178 INFO  [Parser] Processing literal subject template: {ext_id}
2017-11-17 13:50:28,179 INFO  [Parser] Found rr:termType BlankNode
2017-11-17 13:50:28,179 INFO  [Parser] Logical table mapping uri is http://example.com/base#authorities
2017-11-17 13:50:28,179 INFO  [Parser] Processing predicate object maps for: <http://example.com/base#authorities>
2017-11-17 13:50:28,179 INFO  [Parser] Added object column and template from column: provider
2017-11-17 13:50:28,179 INFO  [Parser] Added object column and template from column: ext_id
2017-11-17 13:50:40,697 INFO  [Generator] At 10000
2017-11-17 13:50:40,816 INFO  [Generator] At 20000
2017-11-17 13:50:41,122 INFO  [Generator] At 30000
2017-11-17 13:50:41,214 INFO  [Generator] At 40000
2017-11-17 13:50:41,340 INFO  [Generator] At 50000
2017-11-17 13:50:41,416 INFO  [Generator] At 60000
2017-11-17 13:50:41,698 INFO  [Generator] At 70000
2017-11-17 13:50:42,071 INFO  [Generator] At 80000
2017-11-17 13:50:42,145 INFO  [Generator] At 90000
2017-11-17 13:50:42,221 INFO  [Generator] At 100000
2017-11-17 13:50:42,700 INFO  [Generator] At 110000
2017-11-17 13:50:42,780 INFO  [Generator] At 120000
2017-11-17 13:50:42,862 INFO  [Generator] At 130000
2017-11-17 13:50:43,008 INFO  [Generator] At 140000
2017-11-17 13:50:43,094 INFO  [Generator] At 150000
2017-11-17 13:50:43,168 INFO  [Generator] At 160000
2017-11-17 13:50:43,244 INFO  [Generator] At 170000
2017-11-17 13:50:43,686 INFO  [Generator] At 180000
2017-11-17 13:50:43,794 INFO  [Generator] At 190000
2017-11-17 13:50:43,868 INFO  [Generator] At 200000
2017-11-17 13:50:43,955 INFO  [Generator] At 210000
2017-11-17 13:51:13,265 INFO  [Generator] At 220000
2017-11-17 13:51:13,434 INFO  [Generator] At 230000
2017-11-17 13:51:13,707 INFO  [Generator] At 240000
2017-11-17 13:51:14,152 INFO  [Generator] At 250000
2017-11-17 13:51:40,751 INFO  [Generator] At 260000
2017-11-17 13:51:40,915 INFO  [Generator] At 270000
2017-11-17 13:51:41,082 INFO  [Generator] At 280000
2017-11-17 13:51:41,264 INFO  [Generator] At 290000
2017-11-17 13:51:41,415 INFO  [Generator] At 300000
2017-11-17 13:51:41,476 INFO  [Generator] Finished generating jena model in memory.
2017-11-17 13:51:41,476 INFO  [Generator] Full run: Writing model to /tmp/pe.ttl. Model has 375158 statements.
2017-11-17 13:51:43,348 INFO  [Generator] Writing model to disk took 1872 milliseconds.
2017-11-17 13:51:43,349 INFO  [Generator] Not Writing reified model.
2017-11-17 13:51:43,349 INFO  [Generator] Logging results to /tmp/status.rdf
2017-11-17 13:51:43,452 INFO  [Generator] Logging took 103 milliseconds.
2017-11-17 13:51:43,452 INFO  [ClassPathXmlApplicationContext] Closing org.springframework.context.support.ClassPathXmlApplicationContext@174d20a: startup date [Fri Nov 17 13:49:08 CET 2017]; root of context hierarchy
2017-11-17 13:51:43,453 INFO  [Main] Finished in 155014 milliseconds. Done.
2017-11-17 13:51:43,453 INFO  [Main] 79741
2017-11-17 13:51:43,453 INFO  [Main] 73296
2017-11-17 13:51:43,453 INFO  [Main] 1872
2017-11-17 13:51:43,453 INFO  [Main] 104
2017-11-17 13:51:43,453 INFO  [Main] 1
2017-11-17 13:51:43,453 INFO  [Main] Parse. Generate in memory. Dump to disk/database. Log. - Alltogether in 155014 msec.
2017-11-17 13:51:43,454 INFO  [Main] Done.
